CVR,Profit,Assets,Equity,YearEnd,Equity_sqrt,Assets_sqrt,Profit_sqrt,Default_nextyear,Age
84919411,449220,4300396,1000000,2014-09-30,1000,2073.7396172133085,670.238763426885,0,13169
84511218,618427,5687302,1639691,2013-12-31,1280.5041975721906,2384.8064911015317,786.4012970487778,0,12943
84494410,947226,4149472,2170604,2013-12-31,1473.2969829603262,2037.0252821209658,973.2553621737719,0,12967
84494410,516675,5962814,2687279,2014-12-31,1639.2922253216477,2441.8873847907075,718.8010851410841,0,13332
84471917,-1175091,8814770,10650,2014-12-31,103.19883720275146,2968.9678341133977,-1084.0161437912261,0,13326
84471917,-2544290,11340111,1185742,2013-12-31,1088.9178114072706,3367.5081291661345,-1595.0830699371115,0,12961
84426512,63357,3281968,2718621,2014-06-30,1648.8241264610365,1811.6202692617458,251.70816434911285,0,13158
83978910,-87864,1011362,385081,2013-12-31,620.5489505268702,1005.6649541472548,-296.41862289674043,0,13089
83978910,101489,1245614,486570,2014-12-31,697.5456974277743,1116.0707862855295,318.5733824411575,0,13454
83952814,96891,1548252,1262831,2014-04-30,1123.7575361260097,1244.2877480711606,311.2731919070449,0,13178
83832711,6422,622604,111297,2014-06-30,333.61205014207746,789.0525964725039,80.1373820385967,0,13236
83759313,93061,973165,-17624,2014-06-30,-132.75541420220873,986.491256930339,305.05901068481813,0,13228
83552018,1089184,16122718,6853208,2013-12-31,2617.863250821173,4015.3104487698083,1043.6397846000314,0,10547
83529016,16819323,185953148,59120111,2014-06-30,7688.960332840845,13636.463911146468,4101.136793621983,0,13321
83504919,49644,5102166,4606531,2013-09-30,2146.2830661401586,2258.7974676805356,222.8093355315257,0,13065
83504919,-57918,5030106,4548617,2014-09-30,2132.7486959320827,2242.789780608071,-240.6615881273952,0,13430
83497610,821776,4846305,1895240,2013-09-30,1376.6771589592092,2201.4324881767325,906.5186153631927,0,13149
83309016,525106,1232429,1145634,2014-06-30,1070.342935698648,1110.148188306408,724.6419805669556,0,8363
83161418,305125,4010741,828520,2014-06-30,910.230739977507,2002.683449774327,552.3812089490373,0,13228
83152710,-110309,5880355,3071840,2014-06-30,1752.6665398757402,2424.9443292578903,-332.12798737835993,0,13329
83071028,24884,258660,40202,2014-06-30,200.50436404228213,508.5862758667402,157.74663229368798,0,13342
